price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,sqft_living15
330000,2,1.0,1129,3840,1.0,0,0,3,7,1953,0,98106,1300
265000,3,1.5,1290,7100,1.0,0,0,3,6,1954,0,98198,1300
630000,4,2.5,2290,26720,2.0,0,0,3,8,1977,0,98177,2290
312000,2,1.0,1460,6000,1.0,0,0,2,7,1925,0,98115,1580
156000,2,1.0,920,5889,1.0,0,0,4,6,1950,0,98002,1210
300000,6,2.5,3080,8163,1.0,0,0,3,7,1985,0,98030,1850
1225000,4,2.5,3120,49456,2.0,1,4,4,9,1974,1989,98198,2030
465000,2,1.0,1120,4000,1.0,0,0,3,7,1926,0,98105,1620
923990,4,2.5,3600,6055,2.0,0,0,3,9,2014,0,98052,3590
320000,4,2.25,2000,10374,2.0,0,1,4,7,1967,0,98023,2170
375000,3,1.0,1610,11250,1.0,0,0,3,7,1975,0,98028,2040
985000,3,1.75,1670,5400,2.0,0,0,5,8,1912,0,98112,2100
850000,5,2.0,2310,13430,1.5,0,0,4,8,1966,0,98004,2810
474900,3,2.25,1800,43647,1.0,0,0,4,8,1976,0,98072,2480
997000,4,3.5,3430,13609,2.0,0,0,3,11,2001,0,98059,3880
1302000,4,3.5,3590,5334,2.0,0,2,3,9,2006,0,98115,2100
209900,2,2.0,1180,3003,2.0,0,0,3,6,2005,0,98038,1310
602000,3,2.5,1640,3804,2.0,0,0,3,8,1998,0,98122,1440
1228000,4,2.5,5730,44947,2.0,0,4,3,11,1991,0,98074,3310
856000,3,2.5,2160,3920,2.0,0,0,3,9,2014,0,98116,1500
392000,3,2.25,1790,7125,1.0,0,0,3,7,1974,0,98034,2040
500000,4,2.5,2900,5760,1.0,0,0,4,8,1959,0,98118,2250
230000,3,2.25,1500,7210,1.0,0,0,3,7,1984,0,98023,1500
1145000,3,2.5,2490,4000,2.0,0,0,5,8,1918,0,98109,2310
560000,4,2.5,3270,24750,1.0,0,0,4,8,1979,0,98056,1520
355000,3,2.25,1980,7200,1.0,0,0,3,8,1964,0,98177,1820
785000,3,2.0,2090,5015,1.5,0,0,5,7,1920,0,98112,1930
447500,2,2.25,1180,2090,2.0,0,0,3,7,2004,0,98122,1550
540000,1,1.0,1140,6700,1.5,0,0,3,7,1920,0,98103,1350
252000,3,2.0,1540,7210,2.0,0,0,4,7,1984,0,98023,1500
455000,4,1.75,2050,94525,1.0,0,0,4,7,1959,0,98058,2270
619850,4,2.5,2270,9247,1.0,0,0,5,8,1972,0,98006,2270
1250000,3,2.5,2070,4944,2.0,0,0,3,9,1930,0,98112,3300
495000,3,1.5,1580,1228,3.0,0,0,3,8,2014,0,98115,1580
540000,3,1.0,1270,3840,1.5,0,0,3,7,1926,0,98103,1270
286651,3,2.5,1830,4997,2.0,0,0,3,7,2004,0,98001,2488
261000,3,1.0,1780,7800,1.0,0,0,3,7,1957,0,98178,1450
830000,4,3.25,3330,7809,2.0,0,0,3,9,2004,0,98075,3100
450000,3,2.25,2530,27227,2.0,0,0,3,8,1987,0,98056,2160
260000,2,1.0,1270,19602,1.0,0,0,3,6,1977,0,98010,1270
1450000,4,3.5,2820,7809,2.0,0,0,3,10,1995,0,98004,2630
480000,5,3.5,3480,12821,2.0,0,2,3,10,2004,0,98092,3400
270000,4,2.0,1830,5220,1.5,0,0,3,7,1951,0,98118,1760
1160000,4,3.5,4680,9700,2.0,0,0,3,10,2005,0,98006,2800
250000,3,1.0,1700,7700,1.0,0,0,3,7,1960,0,98168,1700
650000,2,1.0,1050,2542,1.0,0,0,3,7,1904,0,98122,1620
589950,3,2.0,2080,12094,2.0,0,0,4,8,1982,0,98052,2230
743700,4,2.5,2610,33206,2.0,0,0,3,10,1988,0,98053,2870
1925000,5,4.25,4830,8050,2.5,0,2,4,11,1914,0,98144,4470
316000,3,1.75,1120,98445,1.5,0,2,4,7,1917,0,98022,1620
235867,4,2.0,1330,5926,1.0,0,0,4,5,1942,0,98056,1150
716000,3,2.0,1420,3600,1.5,0,0,4,7,1904,0,98119,1250
683000,4,2.5,2620,10489,2.0,0,0,3,9,1990,0,98052,2430
345000,3,2.0,1430,4200,1.0,0,0,4,7,1908,0,98199,1540
270000,3,1.75,1260,7500,1.0,0,0,3,6,1947,0,98155,1340
239000,3,1.5,1330,6540,1.0,0,0,3,7,1971,0,98188,1400
385195,1,1.0,710,6000,1.5,0,0,3,6,2015,0,98144,1440
273000,3,1.75,2050,9045,2.0,0,0,4,6,1959,0,98058,1200
476900,3,1.0,1240,5758,1.5,0,0,4,6,1910,0,98116,1460
551000,4,1.75,2040,6348,1.0,0,0,3,7,1962,0,98103,1770
448000,2,1.0,1110,5413,1.0,0,0,3,6,1937,0,98115,1300
411100,3,1.5,1040,10323,1.0,0,0,4,7,1958,0,98005,1580
223000,2,1.0,910,9869,1.0,0,0,3,6,1957,0,98058,1480
335500,5,3.0,2240,19090,1.0,0,0,4,8,1968,0,98058,2280
730000,3,3.0,3460,13129,2.0,0,0,3,9,1988,0,98077,3460
197200,3,1.0,1140,8775,1.0,0,0,3,6,1942,0,98146,1300
725000,6,1.75,2380,4080,2.0,0,0,3,8,1917,0,98105,2030
342500,3,2.0,2080,11375,1.0,0,0,3,8,2002,0,98022,1080
340000,5,2.0,1750,8220,1.0,0,0,3,7,1956,0,98155,1210
418000,3,2.0,1410,6030,1.5,0,0,4,7,1930,0,98103,1410
410000,3,1.75,2160,4000,1.0,0,0,3,7,1953,0,98144,1260
240000,5,1.75,2460,16000,1.0,0,0,3,7,1957,0,98023,1990
800000,4,3.25,3540,159430,2.0,0,0,3,9,2007,0,98014,1940
275000,3,3.0,1390,1080,2.0,0,0,3,7,2006,0,98118,1450
617950,4,2.5,2410,7950,2.0,0,0,3,8,1997,0,98034,1920
396000,3,1.5,1300,8280,1.0,0,0,5,7,1956,0,98028,1570
309000,3,2.5,1950,3825,2.0,0,0,3,7,2013,0,98042,1950
1275000,4,1.75,3720,8448,1.0,0,3,4,9,1947,0,98199,2540
572500,3,2.5,2490,7589,2.0,0,0,3,9,1991,0,98056,2500
518500,4,3.0,2120,5520,1.5,0,0,3,8,1985,0,98125,2020
710000,3,2.5,2830,9680,2.0,0,0,3,10,1991,0,98074,2970
600000,5,3.25,4410,58157,2.0,0,0,4,9,2001,0,98058,2460
467000,4,2.5,2220,7210,1.0,0,0,3,7,1973,0,98011,2220
309000,3,1.0,1280,9656,1.0,0,0,4,6,1959,0,98058,1340
362500,3,3.5,1710,2212,2.0,0,0,3,7,2013,0,98126,1580
390000,4,1.75,2330,8364,1.0,0,0,4,8,1968,0,98058,2180
208417,2,1.0,840,4200,1.0,0,0,3,5,1938,0,98108,830
340000,3,1.0,3180,27586,1.0,0,0,3,8,1969,0,98022,2180
467500,3,1.75,2260,8512,1.0,0,0,3,7,1948,0,98125,2240
829000,4,2.75,2970,59677,1.0,0,2,4,8,1973,0,98075,2930
959750,4,3.0,3060,50002,1.0,0,2,4,8,1957,0,98008,2740
542000,3,2.5,1990,15985,1.0,0,0,3,8,1964,0,98007,2470
2250000,3,2.5,3420,8700,1.0,0,0,3,9,1951,0,98112,3370
575000,5,2.5,2990,7500,1.0,0,2,3,9,1972,0,98177,2800
690000,3,1.75,2330,16300,2.0,0,0,3,9,1964,0,98034,2330
699950,3,3.25,2230,5460,1.0,0,1,4,8,1977,0,98136,2070
408500,4,2.5,2720,7043,2.0,0,0,3,9,2003,0,98092,2640
595000,4,3.0,3680,35736,1.5,0,0,4,8,1970,0,98027,3210
313000,3,1.75,1320,6205,1.0,0,0,5,7,1948,0,98133,1210
781000,4,2.5,2590,8571,2.0,0,0,3,9,1988,0,98052,2360
371000,4,1.75,1610,11305,1.0,0,0,3,7,1968,0,98034,1870
268000,3,2.0,1610,8416,1.0,0,0,3,7,1994,0,98031,1600
331000,2,2.25,1240,720,2.0,0,0,3,7,2008,0,98027,1260
321000,3,2.25,1347,1292,3.0,0,0,3,7,2010,0,98125,1480
375000,3,1.75,1330,9417,1.0,0,0,5,6,1936,0,98125,1690
298000,2,1.0,850,5000,1.0,0,0,3,5,1907,0,98055,910
209500,3,1.5,970,5488,1.0,0,0,3,7,1976,0,98106,1040
440000,3,2.5,2160,3738,2.0,0,0,3,8,1994,0,98126,1500
350000,4,2.5,2560,5428,2.0,0,0,3,8,2012,0,98042,2620
618000,3,2.5,2340,3630,2.0,0,0,3,9,1998,0,98122,1820
320000,3,1.0,1520,8870,1.5,0,0,4,7,1951,0,98155,1520
234950,2,2.5,1720,3132,2.0,0,0,3,8,1999,0,98042,1740
665000,5,2.0,2800,17788,1.0,0,0,4,8,1963,0,98033,1760
500000,4,2.0,1530,7816,1.0,0,0,3,7,1955,0,98133,1480
575000,2,1.5,1750,19709,1.5,0,0,4,8,1978,0,98010,1950
320000,3,2.0,1110,10500,1.0,0,0,5,7,1978,0,98045,1230
464000,5,2.5,3400,8970,1.0,0,0,4,8,1959,0,98133,1890
280000,4,2.0,1600,6861,1.0,0,0,3,7,1994,0,98003,1870
350000,3,1.0,940,7811,1.0,0,0,3,6,1959,0,98008,1180
249000,2,1.5,1090,2686,2.0,0,0,3,7,1982,0,98034,1160
531000,2,3.0,1270,1175,2.0,0,0,3,8,2000,0,98103,1290
472800,3,2.25,1840,8400,1.0,0,0,3,8,1961,0,98006,2110
710000,4,1.75,2120,5400,1.0,0,0,4,8,1941,0,98199,2052
580000,5,2.75,3550,9600,2.0,0,0,3,7,1960,0,98033,3370
330000,4,2.5,2980,5674,2.0,0,0,3,8,2003,0,98023,2610
174950,2,1.0,730,6000,1.0,0,0,3,6,1950,1985,98198,1750
565000,3,3.0,2110,4000,1.0,0,2,4,7,1965,0,98126,1730
534000,5,2.0,2280,3600,2.0,0,0,3,7,1992,0,98122,1740
503500,3,2.5,1810,1750,2.0,0,0,3,7,1997,0,98199,1640
235000,3,1.75,1420,7920,1.0,0,0,4,7,1962,0,98092,1420
558000,4,2.5,3220,5120,2.0,0,0,3,9,2000,0,98118,1770
966000,5,4.5,3810,8019,2.0,0,0,3,10,2008,0,98074,3390
1297000,6,2.75,2630,9420,2.0,0,0,5,9,1900,0,98103,1540
310000,3,1.5,1060,6954,1.0,0,0,4,6,1983,0,98106,1560
535000,2,1.0,1520,3360,1.0,0,0,4,7,1927,0,98117,1470
432000,4,1.75,1970,5160,1.5,0,0,3,7,1942,0,98126,1230
1750000,6,4.25,5860,13928,2.0,0,3,3,10,2013,0,98006,5790
675000,4,3.0,2400,3340,1.0,0,0,4,7,1964,0,98107,1520
337000,4,2.0,1590,8779,1.0,0,0,3,8,2001,0,98019,2090
410000,3,1.0,1410,5000,1.0,0,0,3,6,1925,0,98116,1410
320000,4,2.5,2130,9653,1.0,0,0,3,7,1978,0,98031,2000
585000,4,2.5,2370,15200,1.0,0,0,3,8,1975,0,98052,2360
835000,5,4.0,3600,14720,1.0,0,2,5,8,1960,0,98034,3600
863000,4,2.5,4120,22370,2.0,0,0,3,10,1997,0,98074,3180
320000,3,1.0,1190,4120,1.0,0,0,3,6,1929,0,98118,1360
613000,3,3.25,2440,2812,2.0,0,0,3,8,2005,0,98027,2440
180000,5,1.0,1460,11726,1.5,0,0,3,6,1936,0,98146,1460
560000,4,2.25,2550,7800,1.0,0,0,3,8,1968,0,98052,2420
530000,4,4.5,4060,10800,2.0,0,0,3,10,2007,0,98188,1830
347000,3,2.5,1680,4308,2.0,0,0,3,7,2004,0,98056,2160
260000,5,2.25,2320,6375,1.0,0,0,4,7,1967,0,98001,1760
585000,4,2.5,2200,9099,2.0,0,0,3,8,1994,0,98034,2270
440000,3,2.5,2230,5800,2.0,0,0,3,7,2004,0,98065,2230
305000,4,1.5,1590,131551,1.0,0,3,4,7,1966,0,98022,2280
650500,3,1.75,1740,4400,1.5,0,0,3,8,1903,0,98122,1740
590000,3,3.25,1290,1230,2.0,0,2,3,9,2008,0,98119,1710
245000,3,1.75,1670,24650,1.0,0,0,4,7,1974,0,98022,1810
329999,3,2.75,3360,41250,1.0,0,0,4,7,1988,0,98022,2580
470000,3,2.5,2620,4874,2.0,0,0,3,7,1999,0,98065,2360
2885000,7,3.0,5350,14400,2.5,0,0,4,10,1910,0,98112,3050
580000,3,1.75,1460,2800,2.0,0,0,3,7,1928,0,98117,1220
745000,3,1.75,1490,9800,1.0,0,0,4,7,1947,0,98004,2310
350000,4,2.25,1780,10416,1.0,0,0,5,7,1963,0,98055,1780
515000,4,1.75,1730,7980,1.0,0,0,4,8,1965,0,98007,2080
756100,4,2.0,2000,8317,1.5,0,0,4,8,1917,0,98126,1390
472500,3,2.0,1750,15500,1.0,0,0,3,7,1982,0,98075,2450
900000,6,2.75,2300,24773,1.5,0,0,4,9,1950,1985,98040,2720
895000,4,2.75,2640,4000,2.0,0,0,5,8,1925,0,98115,1530
255000,3,2.5,2555,5720,2.0,0,0,3,8,2006,0,98031,2844
380000,4,2.5,2320,10079,2.0,0,0,3,7,1994,0,98038,2010
265000,3,2.5,1660,5250,2.0,0,0,4,8,1988,0,98003,1630
728000,3,1.5,1940,4000,1.5,0,0,3,8,1915,0,98112,1940
194000,3,1.0,1050,7577,1.0,0,0,3,7,1983,0,98023,1430
300000,3,1.0,1220,13000,1.0,0,0,4,7,1955,0,98133,1510
216650,3,3.5,1540,1427,2.0,0,0,3,7,2007,0,98109,1220
223990,2,2.25,1061,2884,2.0,0,0,3,7,2013,0,98002,1481
220000,4,1.0,1200,6000,1.5,0,0,3,6,1923,0,98106,950
3600000,3,3.25,5020,12431,2.0,1,4,3,10,1941,2002,98144,3680
310000,3,1.0,1330,3740,1.5,0,0,3,6,1903,0,98118,1330
360000,2,1.75,1230,1107,2.0,0,0,3,8,2006,0,98029,1380
635000,2,2.5,1390,1132,2.0,0,0,3,8,2006,0,98102,1400
599950,4,3.5,2500,3080,2.0,0,0,3,8,2008,0,98052,2060
220000,3,1.0,1180,5002,1.5,0,0,3,7,1946,0,98155,1470
372000,4,2.5,2070,8658,2.0,0,0,3,8,1999,0,98178,2010
332900,3,1.5,1190,11996,1.0,0,0,4,7,1969,0,98077,1190
380000,3,2.5,2280,10255,2.0,0,0,4,8,1985,0,98058,2310
471000,4,1.75,1450,3750,1.0,0,0,4,7,1925,0,98105,1850
1185000,4,2.75,2850,3000,2.5,0,0,3,9,2003,0,98112,2083
684000,4,3.5,3040,8414,2.0,0,0,3,9,2010,0,98059,3470
750000,3,2.25,2250,5301,2.0,0,0,4,8,1975,0,98115,2240
612125,2,1.5,1670,6000,1.0,0,0,3,7,1950,0,98119,1670
455500,3,1.75,2290,19000,1.0,0,0,4,9,1973,0,98042,2900
330000,4,2.0,1750,5202,1.0,0,1,4,6,1942,0,98108,2090
654000,3,2.5,3240,60840,2.0,0,0,3,7,1997,0,98045,2570
323000,4,2.75,1970,7213,1.0,0,0,3,8,1977,0,98058,1980
315000,3,3.25,1480,983,2.0,0,0,3,8,2013,0,98106,1330
392000,4,2.75,1940,6555,2.0,0,0,3,8,1990,0,98038,1840
782000,4,2.5,2830,20345,2.0,0,0,3,10,1979,0,98004,2830
298500,4,2.5,1890,5954,2.0,0,0,3,7,2004,0,98092,2030
3650000,6,4.75,5480,19401,1.5,1,4,5,11,1936,0,98105,3510
374000,3,2.5,2185,6042,2.0,0,0,3,9,2009,0,98030,2297
850000,3,2.25,1950,3600,1.5,0,0,5,8,1911,0,98119,1950
785000,4,2.5,3210,24527,1.5,0,0,3,11,1984,0,98074,3280
615000,4,2.25,2500,10062,1.0,0,0,3,8,1975,0,98052,2500
599832,3,2.75,3230,5200,2.0,0,0,3,9,2014,0,98065,3100
1075000,3,3.0,4020,435600,1.5,0,2,3,10,1999,0,98045,2590
226000,3,1.75,1490,6269,1.0,0,0,4,6,1944,0,98056,1490
421500,4,3.0,2793,5703,2.0,0,0,3,9,2009,0,98030,2793
406550,5,2.75,2400,15781,1.0,0,0,4,7,1974,0,98074,2390
360000,3,2.5,1530,1131,3.0,0,0,3,8,2009,0,98103,1530
520000,2,1.75,1340,1368,2.0,0,0,3,7,2006,0,98122,2480
329950,2,1.0,1140,5250,1.5,0,0,4,6,1949,0,98133,1450
550000,4,2.0,2250,7500,1.0,0,0,5,7,1956,0,98005,1440
425000,4,2.25,2060,8540,1.0,0,0,4,7,1967,0,98034,1560
1610000,5,4.5,6085,142725,3.0,0,0,3,11,2000,0,98014,4830
185000,3,1.0,1240,9198,1.5,0,0,4,7,1959,0,98032,1170
345000,3,2.5,2340,8414,1.0,0,0,3,7,1993,0,98188,2340
585000,3,3.5,1700,2197,2.0,0,0,3,8,2010,0,98116,1360
325000,3,2.25,2450,49658,1.0,0,0,3,7,1978,0,98045,1340
220000,3,1.0,1460,10200,1.0,0,0,4,7,1957,0,98055,1460
716100,3,1.0,1640,4000,1.5,0,0,5,7,1909,0,98103,2140
313999,4,2.25,1870,4198,2.0,0,0,3,7,2008,0,98038,1870
450000,3,2.0,1610,4364,2.0,0,0,3,8,1996,0,98029,2010
380000,2,1.75,1800,7191,1.0,0,3,4,7,1952,0,98056,1940
572000,3,1.5,1680,13751,1.0,0,0,4,7,1951,0,98040,1760
343888,4,2.5,2060,5607,2.0,0,0,3,7,2002,0,98058,2060
474950,3,2.25,1850,2575,2.0,0,0,3,9,2013,0,98118,1080
410000,4,2.25,2200,8292,2.0,0,0,3,7,1990,0,98155,1090
295000,1,1.0,520,5600,1.0,0,0,3,6,1918,0,98116,1030
635000,3,2.5,1960,7200,1.0,0,0,4,8,1940,0,98118,1440
275000,5,2.5,2570,17234,1.0,0,0,3,7,1959,0,98133,1760
185000,2,1.0,1122,9100,1.0,0,0,4,6,1960,0,98023,840
239000,2,1.0,1130,15190,1.0,0,0,4,7,1954,0,98032,1490
840000,4,2.5,2480,4602,2.0,0,0,3,9,2000,0,98052,3480
644000,4,2.5,3310,4839,2.0,0,0,3,9,2007,0,98072,3240
515000,2,1.0,970,3300,1.0,0,0,4,7,1916,0,98103,1060
276200,2,1.75,1370,4495,1.0,0,0,4,8,1975,0,98198,1370
400000,4,1.75,1770,12875,1.0,0,0,3,8,1988,0,98028,2150
769900,4,3.5,2730,3047,2.0,0,0,3,8,2006,0,98116,1980
585000,4,2.5,2250,4119,2.0,0,0,3,8,2001,0,98075,2290
570000,4,1.75,1860,7700,1.0,0,0,4,8,1964,0,98008,1860
490000,3,1.0,920,4800,1.0,0,0,4,6,1926,0,98117,1370
587100,3,2.25,1670,6414,1.0,0,0,4,8,1961,0,98117,2130
329900,3,2.0,1380,5198,1.0,0,0,4,7,1982,0,98106,1320
725000,5,3.75,3360,6000,2.0,0,0,3,8,1963,1999,98118,1930
445000,3,2.5,2250,9608,2.0,0,0,3,8,1994,0,98045,2020
380000,3,2.5,1840,6985,1.0,0,0,3,7,1971,0,98133,2160
255000,3,2.0,1490,7599,1.0,0,0,3,7,1990,0,98042,1560
355000,3,1.0,1360,8968,1.0,0,0,3,7,1956,0,98125,1490
285000,3,1.5,1400,7582,1.0,0,0,3,7,1956,0,98148,1280
1050000,4,1.0,1330,9729,1.0,0,0,3,6,1952,0,98004,2920
749400,4,2.5,3240,20301,2.0,0,0,3,10,1985,0,98052,3010
1490000,5,3.5,3620,7821,2.0,0,2,3,10,1958,2010,98040,2690
950000,5,3.25,3400,7452,2.0,0,0,3,10,1999,0,98007,2650
264500,3,2.5,1630,8346,1.0,0,0,3,8,1990,0,98092,2110
1385000,3,3.0,2490,3600,2.0,0,3,4,8,1911,0,98119,2490
199950,5,2.5,1740,8750,1.0,0,0,4,7,1959,0,98198,1740
969950,3,2.5,2830,3750,3.0,0,0,3,10,2014,0,98117,1780
405000,3,2.5,1500,9636,2.0,0,0,3,7,1994,0,98011,1700
322500,4,2.75,2060,6659,1.0,0,0,3,7,1981,0,98058,2020
425000,4,1.75,1820,6000,1.0,0,0,3,7,1942,0,98115,1590
275000,3,1.5,1060,6954,1.0,0,0,4,6,1983,0,98106,1560
181000,2,1.5,720,5120,1.0,0,0,3,6,1954,0,98106,1150
475000,3,2.5,1700,9100,1.0,0,0,3,8,1998,0,98126,1590
376950,4,2.5,2643,5750,2.0,0,0,3,8,2012,0,98030,2406
476000,4,3.0,2890,6885,1.0,0,0,3,7,1945,2015,98115,2180
480000,2,1.0,820,4200,1.0,0,0,3,7,1980,0,98112,1290
229000,3,2.0,1760,9900,1.0,0,0,4,7,1943,0,98166,1190
226950,2,1.0,930,6600,1.0,0,0,3,6,1957,0,98168,1250
669888,4,2.75,2550,7591,2.0,0,0,3,9,1989,0,98059,2670
555750,3,1.0,1060,4880,1.0,0,0,2,6,1913,0,98118,1200
280000,4,2.25,2100,8075,2.0,0,0,3,8,1978,0,98003,2100
315000,2,1.0,1010,7338,2.0,0,0,4,7,1981,0,98056,1220
499950,3,1.5,1360,11250,1.0,0,0,4,7,1955,0,98006,1440
453000,3,2.5,1820,16300,1.0,0,0,4,7,1955,0,98166,1870
700000,3,2.5,2060,10650,1.0,0,0,5,8,1976,0,98006,2690
347500,3,2.5,1890,7053,2.0,0,0,4,8,1992,0,98031,2000
600000,4,3.25,4690,14930,2.0,0,2,3,10,1995,0,98155,2910
286000,2,1.0,780,3475,1.0,0,0,4,5,1930,0,98045,1210
1212500,4,3.5,4560,16643,1.0,0,3,3,12,1995,0,98006,4060
580000,3,2.5,1740,1236,3.0,0,2,3,8,2008,0,98116,1740
630000,3,1.75,1710,8767,1.0,0,0,4,8,1986,0,98033,2050
730000,6,2.25,2660,13579,2.0,0,0,3,7,1937,1990,98125,1120
1300000,3,2.5,3350,7752,1.0,0,0,3,9,2009,0,98008,2570
850000,3,2.5,3300,11570,2.0,0,0,3,9,1994,0,98006,3280
410000,3,1.75,1660,6250,1.0,0,0,3,7,1980,0,98116,1660
325000,2,2.25,1550,2285,2.0,0,0,3,8,2007,0,98106,1550
596500,4,2.25,1770,8505,2.0,0,0,3,8,1986,0,98052,1880
1020000,3,2.25,1670,4800,1.5,0,3,3,8,1903,0,98119,2300
180250,2,0.75,900,9600,1.0,0,0,3,6,1941,0,98166,1250
528000,3,2.75,2160,4086,1.0,0,0,3,7,1987,0,98126,1300
405500,2,2.75,1350,1252,2.0,0,0,3,8,2006,0,98136,1410
1850000,4,3.25,3480,6000,3.0,0,0,3,8,2014,0,98109,2200
230000,3,1.75,1340,8250,1.0,0,0,3,7,1985,0,98042,1540
789000,3,3.0,3740,39640,2.0,0,2,3,10,1991,0,98070,2930
527950,4,1.75,1760,3600,1.0,0,0,5,7,1926,0,98103,1500
688000,3,3.0,3450,16200,2.0,0,0,3,10,1983,0,98074,3130
1057000,2,1.5,2370,184231,2.0,0,0,3,11,2005,0,98045,3860
999999,3,2.5,2100,4097,2.0,0,0,3,9,2008,0,98004,1780
355000,4,2.5,2390,6775,2.0,0,0,3,7,2003,0,98056,2560
1197354,4,2.5,2770,7800,2.0,0,0,3,10,1999,0,98033,2720
254600,3,2.0,1470,20000,1.0,0,0,4,7,1968,0,98002,1390
630000,4,2.0,2000,5000,1.5,0,0,5,7,1925,0,98144,2200
